INT0001,FT15152,Environmental monitoring,Medium,Same Location,Unknown offender
INT0002,FT15782,Anonymous report,Low,Waste Pattern,Blank
INT0003,FT19572,Police partner,High,Same Location,Unknown offender
INT0004,FT11576,Enforcement officer,Low,Vehicle,None
INT0005,FT06936,CCTV,Low,Similar dates,None
INT0006,FT19996,Environmental monitoring,High,Similar dates,None
INT0007,FT11753,Police partner,Medium,Vehicle,None
INT0008,FT12214,Enforcement officer,Medium,Waste Pattern,Unknown offender
INT0009,FT17975,Police partner,Medium,Waste Pattern,Unknown offender
INT0010,FT00979,Waste contractor,High,Vehicle,None
INT0011,FT08903,Enforcement officer,Low,Waste Pattern,Blank
INT0012,FT14436,Resident,High,Waste Pattern,Unknown offender
INT0013,FT17196,Enforcement officer,High,Similar dates,None
INT0014,FT12307,Council officer,Low,Waste Pattern,Unknown offender
INT0015,FT06701,Waste contractor,High,Similar dates,None
INT0016,FT15458,Council officer,Low,Waste Pattern,Unknown offender
INT0017,FT10133,Resident,High,Same Location,Unknown offender
INT0018,FT14401,CCTV,Medium,Vehicle,None
INT0019,FT13660,Enforcement officer,Low,Similar dates,None
INT0020,FT17350,Police partner,High,Same Location,Unknown offender
INT0021,FT14480,Resident,High,Similar dates,None
INT0022,FT04904,Police partner,High,Same Location,Blank
INT0023,FT17573,Waste contractor,High,Vehicle,None
INT0024,FT06253,Police partner,High,Same Location,Blank
INT0025,FT04621,CCTV,Medium,Waste Pattern,Unknown offender
INT0026,FT09752,CCTV,Medium,Same Location,Blank
INT0027,FT09562,Anonymous report,Medium,Similar dates,None
INT0028,FT19859,Enforcement officer,Medium,Similar dates,None
INT0029,FT19149,Enforcement officer,Medium,Waste Pattern,Blank
INT0030,FT17204,Enforcement officer,High,Same Location,Unknown offender
INT0031,FT10382,Environmental monitoring,High,Vehicle,None
INT0032,FT10898,Police partner,Medium,Vehicle,None
INT0033,FT18423,Council officer,High,Similar dates,None
INT0034,FT13514,Resident,Medium,Waste Pattern,Unknown offender
INT0035,FT18256,Police partner,Low,Same Location,Blank
INT0036,FT12115,Enforcement officer,Low,Similar dates,None
INT0037,FT10168,Police partner,Medium,Vehicle,None
INT0038,FT12598,Police partner,High,Same Location,Unknown offender
INT0039,FT05166,Anonymous report,Low,Waste Pattern,Unknown offender
INT0040,FT05068,Council officer,Low,Same Location,Blank
INT0041,FT13031,Resident,High,Vehicle,None
INT0042,FT09536,Waste contractor,Low,Vehicle,None
INT0043,FT06611,Resident,High,Similar dates,None
INT0044,FT13651,Police partner,High,Same Location,Blank
INT0045,FT19305,Police partner,High,Similar dates,None
INT0046,FT10936,Resident,High,Similar dates,None
INT0047,FT03989,Resident,Low,Same Location,Blank
INT0048,FT17687,Anonymous report,High,Waste Pattern,Blank
INT0049,FT09682,Environmental monitoring,Medium,Similar dates,None
INT0050,FT17347,Police partner,Low,Same Location,Unknown offender
INT0051,FT09388,Police partner,Low,Waste Pattern,Blank
INT0052,FT04465,Enforcement officer,Low,Vehicle,No Registration
INT0053,FT07286,Waste contractor,Medium,Waste Pattern,Unknown offender
INT0054,FT10674,Police partner,High,Same Location,Unknown offender
INT0055,FT04171,Police partner,High,Waste Pattern,Blank
INT0056,FT04962,Police partner,Medium,Same Location,Unknown offender
INT0057,FT06283,Anonymous report,Medium,Similar dates,None
INT0058,FT18441,Police partner,Low,Waste Pattern,Blank
INT0059,FT19269,Police partner,Medium,Same Location,Blank
INT0060,FT17017,Anonymous report,High,Waste Pattern,Unknown offender
INT0061,FT09084,CCTV,Medium,Same Location,Blank
INT0062,FT08103,Police partner,High,Vehicle,None
INT0063,FT10366,Waste contractor,Medium,Same Location,Unknown offender
INT0064,FT01595,Council officer,Low,Similar dates,None
INT0065,FT19820,Resident,High,Similar dates,None
INT0066,FT12027,Council officer,High,Similar dates,None
INT0067,FT06570,Resident,High,Vehicle,No Registration
INT0068,FT04213,CCTV,Medium,Similar dates,None
INT0069,FT14801,Environmental monitoring,Low,Vehicle,No Registration
INT0070,FT01626,Environmental monitoring,Low,Vehicle,No Registration
INT0071,FT08451,Environmental monitoring,Low,Similar dates,None
INT0072,FT15768,Waste contractor,Low,Waste Pattern,Blank
INT0073,FT00746,Council officer,High,Same Location,Blank
INT0074,FT04359,Enforcement officer,High,Same Location,Unknown offender
INT0075,FT14358,Resident,Medium,Vehicle,None
INT0076,FT19328,Waste contractor,Medium,Waste Pattern,Unknown offender
INT0077,FT05794,Resident,High,Vehicle,None
INT0078,FT13338,Enforcement officer,Medium,Vehicle,None
INT0079,FT05818,Waste contractor,High,Similar dates,None
INT0080,FT16408,CCTV,High,Waste Pattern,Unknown offender
INT0081,FT11956,Anonymous report,High,Same Location,Unknown offender
INT0082,FT13506,Enforcement officer,High,Vehicle,None
INT0083,FT08187,Anonymous report,Medium,Waste Pattern,Blank
INT0084,FT00996,Police partner,Low,Same Location,Blank
INT0085,FT08353,CCTV,Medium,Similar dates,None
INT0086,FT02618,Environmental monitoring,Medium,Waste Pattern,Unknown offender
